tile,baseline,ours,delta,changed_pct,fixed,broke,newly_discarded,all_discarded
airplane13,43.89,43.58,-0.31,2.15,241,422,885,0
airplane14,48.93,52.19,3.26,27.23,1246,15734,1005,0
airplane15,66.39,71.88,5.48,5.53,2469,139,1140,0
airplane16,24.69,13.38,-11.31,12.24,728,5518,6857,0
airplane17,44.78,45.65,0.86,3.17,598,146,1348,0
airplane18,55.35,45.88,-9.47,5.64,684,1356,2937,0
airplane19,35.72,36.3,0.58,16.2,180,99,501,0
airplane20,50.85,51.87,1.02,4.68,283,666,2165,0
airplane21,37.25,38.64,1.39,2.61,265,308,845,0
airplane22,39.62,40.39,0.76,0.61,88,89,294,0
airplane23,62.07,61.78,-0.3,4.34,1714,607,471,0
airplane24,48.25,47.08,-1.17,11.74,2101,3919,1938,0
airplane25,49.28,49.28,0.0,1.19,167,306,534,0
airplane26,70.49,74.54,4.05,3.33,988,499,524,0
airplane27,28.6,30.4,1.8,1.7,188,175,783,0
airplane28,31.45,34.37,2.92,3.97,693,768,1121,0
airplane29,28.51,30.13,1.62,2.42,347,196,379,0
airplane30,28.2,28.3,0.1,3.34,441,574,602,0
airplane31,45.59,70.38,24.79,43.25,27330,287,994,0
airplane32,35.6,36.72,1.11,2.28,141,105,848,0
airplane33,45.37,45.25,-0.11,2.3,331,286,1122,0
airplane34,73.35,57.53,-15.82,4.44,516,2102,299,0
airplane35,24.83,39.79,14.96,27.12,15241,1005,1615,0
airplane36,83.19,54.42,-28.78,3.6,110,1898,554,0
airplane37,36.76,53.36,16.61,36.19,22652,192,968,0
airplane38,39.6,39.38,-0.22,9.57,1450,4163,859,0
airplane39,80.79,84.39,3.6,1.82,240,114,943,0
airplane40,32.2,35.52,3.32,6.18,1270,765,2674,0
airplane41,21.57,21.93,0.36,3.93,164,1511,700,0
airplane42,20.15,49.31,29.15,72.7,46241,106,1395,0
airplane43,77.2,78.17,0.97,0.94,133,151,455,0
airplane44,30.91,31.0,0.09,1.26,77,395,730,0
airplane45,21.52,22.66,1.13,10.84,202,601,6173,0
airplane46,23.61,12.91,-10.71,38.96,4,8316,9467,0
airplane47,80.54,82.14,1.6,0.74,95,101,381,0
airplane48,30.16,32.84,2.68,4.56,604,462,2203,0
airplane49,20.46,21.59,1.13,4.54,732,437,969,0
airplane50,34.64,37.33,2.7,6.09,975,610,2396,0
airplane51,25.0,18.38,-6.62,11.05,557,2747,6571,0
airplane52,33.35,33.73,0.38,3.61,129,1031,1474,0
airplane53,57.81,63.01,5.21,9.54,1007,1659,5106,0
airplane54,39.59,33.95,-5.64,10.1,560,1926,6016,0
airplane55,22.82,25.65,2.82,13.58,4119,32,3260,0
airplane56,33.7,35.57,1.87,2.84,962,141,598,0
airplane57,24.39,20.52,-3.87,36.05,1315,21585,607,0
airplane58,60.62,60.85,0.23,0.95,433,78,177,0
airplane59,37.07,40.25,3.18,5.94,519,662,3196,0
airplane60,29.58,39.73,10.14,15.12,601,199,8287,0
airplane61,32.92,39.57,6.66,4.84,303,97,2808,0
airplane62,38.22,45.02,6.79,4.28,261,113,2421,0
airplane63,26.19,28.16,1.97,3.3,941,342,634,0
airplane64,34.5,37.78,3.28,3.46,439,166,1513,0
airplane65,33.55,37.21,3.66,3.31,248,183,1539,0
airplane66,19.96,16.19,-3.78,5.64,915,901,2005,0
airplane67,26.78,34.69,7.91,12.88,599,235,6389,0
airplane68,34.71,42.61,7.9,8.68,426,364,5057,0
airplane69,28.8,29.87,1.07,4.24,1161,152,661,0
airplane70,35.66,42.1,6.43,6.61,571,417,3690,0
airplane71,25.19,28.56,3.36,7.04,483,726,3958,0
airplane72,29.91,28.7,-1.21,18.46,1505,9723,4010,0
airplane73,44.02,44.46,0.44,4.68,1155,933,1798,0
airplane74,86.03,87.92,1.89,6.29,423,1543,3629,0
airplane75,44.22,44.39,0.17,5.19,203,1409,3117,0
airplane76,61.52,59.37,-2.15,5.4,138,2336,3251,0
airplane77,34.87,35.02,0.15,3.27,521,612,1310,0
airplane78,44.22,34.99,-9.24,15.54,109,9468,437,0
airplane79,61.45,40.98,-20.47,9.61,700,4519,1490,0
airplane80,59.61,62.1,2.49,1.73,95,182,1011,0
airplane81,46.85,41.63,-5.22,9.68,526,2026,1560,0
airplane82,66.69,61.98,-4.71,6.25,542,3066,1041,0
airplane83,39.77,35.53,-4.25,16.43,123,10271,2667,0
airplane84,46.92,46.79,-0.13,2.27,141,727,1262,0
airplane85,81.36,58.64,-22.72,10.47,1194,4143,3366,0
airplane86,22.02,22.14,0.12,89.59,0,188,382,0
airplane87,27.1,27.16,0.06,10.0,0,2546,6467,0
airplane88,25.91,26.26,0.34,20.25,162,309,548,0
airplane89,31.85,24.2,-7.65,4.15,60,312,377,0
airplane90,53.64,57.56,3.93,7.7,1251,938,3710,0
airplane91,45.96,48.64,2.68,3.34,669,304,1352,0
airplane92,46.11,45.77,-0.35,2.93,64,168,387,0
airplane93,33.48,33.07,-0.41,7.19,373,4172,223,0
airplane94,87.26,88.54,1.28,0.72,116,125,350,0
airplane95,70.23,68.36,-1.87,0.44,32,192,221,0
airplane96,33.16,35.13,1.97,4.95,189,251,2962,0
airplane97,35.53,38.37,2.84,5.63,573,451,2636,0
airplane98,50.31,51.21,0.89,0.4,58,53,195,0
airplane99,26.67,27.25,0.58,2.35,247,299,324,0
baseballdiamond00,13.83,21.58,7.74,29.71,14170,790,2418,0
baseballdiamond01,15.08,25.55,10.48,41.09,22871,220,3170,0
baseballdiamond02,27.89,45.92,18.03,41.38,19692,1249,7181,0
baseballdiamond03,0.01,2.55,2.54,15.57,3716,21,5947,0
baseballdiamond04,15.61,41.23,25.62,72.01,46101,10,785,0
baseballdiamond05,47.14,64.07,16.93,62.35,37903,161,1793,0
baseballdiamond06,6.94,22.73,15.79,80.58,47412,31,2344,0
baseballdiamond07,0.05,28.68,28.62,92.94,55079,20,740,0
baseballdiamond08,25.9,29.81,3.91,61.52,33130,1094,4201,0
baseballdiamond09,18.62,29.04,10.42,37.56,18897,171,1818,0
baseballdiamond10,14.96,44.01,29.05,74.74,46588,80,1499,0
baseballdiamond11,17.76,18.9,1.14,3.01,1272,0,559,0
baseballdiamond12,23.53,29.8,6.27,64.06,32615,6141,8862,0
baseballdiamond13,13.75,29.54,15.78,69.6,39621,144,2042,0
baseballdiamond14,28.82,38.11,9.3,25.65,15900,33,728,0
baseballdiamond15,33.81,31.05,-2.76,33.01,15706,1234,5254,0
baseballdiamond16,38.71,50.41,11.7,49.73,28602,407,3497,0
baseballdiamond17,23.22,30.28,7.06,58.69,32003,1147,5228,0
baseballdiamond18,22.13,26.96,4.83,45.92,26715,621,2875,0
