image,valid_px,real_px,discarded_px,discard_pct_of_real
2914,1048576,900903,0,0.0
2915,1048576,306085,28,0.01
2916,1048576,684934,684934,100.0
2917,1048576,973063,484,0.05
2918,932325,918759,12,0.0
2919,1048576,927233,29259,3.16
2920,1048576,161275,0,0.0
2921,1048576,29955,757,2.53
2922,1048576,218827,4459,2.04
2923,1048576,776689,57578,7.41
2924,1048576,946926,1536,0.16
2925,1048576,887578,1384,0.16
2926,1048576,223824,42,0.02
2927,1048576,127800,42,0.03
2928,1048576,918934,276,0.03
2929,1048576,92689,38545,41.59
2930,1048576,116137,14,0.01
2931,1048576,968788,76,0.01
2932,1048576,1027132,0,0.0
2933,1048576,411792,104,0.03
2934,1048576,712070,14,0.0
2935,1048576,87914,70441,80.12
2936,1048576,694651,0,0.0
2937,1048576,379910,8,0.0
2938,1048576,273698,0,0.0
2939,1048576,99966,194,0.19
2940,1048576,534283,166811,31.22
2941,1048576,789802,651184,82.45
2942,1048576,998339,0,0.0
2943,1048576,646955,577025,89.19
2944,1048576,772127,119721,15.51
2945,1048576,753567,17901,2.38
2946,1048576,776047,57,0.01
2947,1048576,424426,254414,59.94
2948,1048576,880841,464,0.05
2949,1048576,997025,1163,0.12
2950,1048576,940318,0,0.0
2951,1048576,594292,57,0.01
2952,1048576,178318,80,0.04
2953,1048576,750373,511724,68.2
2954,1048576,971058,0,0.0
2955,1048576,75568,11,0.01
2956,1048576,1047042,705707,67.4
2957,1048576,370676,34072,9.19
2958,1048576,279594,0,0.0
2959,1048576,517549,0,0.0
2960,1048576,272308,2246,0.82
2961,1048576,77640,0,0.0
2962,1048575,970889,0,0.0
2963,1048576,828396,9794,1.18
2964,1048576,1025107,0,0.0
2965,1048576,473521,0,0.0
2966,1048576,282885,30,0.01
2967,1048576,812069,16889,2.08
2968,1048576,220223,106,0.05
2969,1048576,793574,1828,0.23
2970,1048576,851849,14986,1.76
2971,1048576,193239,304,0.16
2972,1048576,372295,31738,8.52
2973,873523,736807,4908,0.67
2974,1048576,655561,29326,4.47
2975,1048576,619536,79,0.01
2976,1048576,775813,1604,0.21
2977,1048576,1048576,165,0.02
2978,1048576,144973,100,0.07
2979,1048576,35912,12146,33.82
2980,1048576,469700,62,0.01
2981,1048576,344144,0,0.0
2982,1048576,134105,121048,90.26
2983,1048576,260610,94359,36.21
2984,1048576,736269,8565,1.16
2985,1048576,840704,839286,99.83
2986,1048576,386766,4004,1.04
2987,754439,740748,792,0.11
2988,1048576,1031418,9181,0.89
2989,1048576,619180,390,0.06
2990,1048576,51160,7072,13.82
2991,1048576,1016787,0,0.0
2992,1048576,962958,515,0.05
2993,1048576,442644,0,0.0
2994,1048576,894700,894700,100.0
2995,1048576,573050,2150,0.38
2996,1048576,739165,94943,12.84
2997,1048576,672808,21892,3.25
2998,1048576,995074,0,0.0
2999,1048576,791077,571087,72.19
3000,1048576,780484,5124,0.66
3001,1048576,453950,34,0.01
3002,1048576,877463,8,0.0
3003,1048576,1004599,1004599,100.0
3004,726724,685119,22438,3.28
3005,1048576,69314,66186,95.49
3006,1048576,221864,154,0.07
3007,1048576,381883,0,0.0
3008,1048576,528695,112,0.02
3009,1048576,260100,242016,93.05
3010,1048576,157005,74011,47.14
3011,785525,618140,1321,0.21
3012,1048576,198277,99,0.05
3013,1048576,226237,0,0.0
3014,991140,676652,55519,8.2
3015,1048576,968579,1867,0.19
3016,1048576,333881,249062,74.6
3017,1048576,225604,40,0.02
3018,725022,705772,0,0.0
3019,1048576,432083,447,0.1
3020,1048576,873222,665,0.08
3021,1048576,546111,479,0.09
3022,1048576,879929,598,0.07
3023,1048576,1023283,0,0.0
3024,1048576,493729,1646,0.33
3025,1048576,407033,424,0.1
3026,1048576,134637,44,0.03
3027,1048576,479604,10085,2.1
3028,1048576,541516,96,0.02
3029,1048576,876339,7851,0.9
3030,1048576,324812,29,0.01
3031,1048576,1048576,1048576,100.0
3032,1048576,355174,95617,26.92
3033,1048576,249268,8,0.0
3034,1048576,1047742,0,0.0
3035,1048576,940379,810,0.09
3036,1048576,978022,0,0.0
3037,1048576,195460,69,0.04
3038,1048576,416341,134028,32.19
3039,1048576,503018,0,0.0
3040,1048576,330193,4,0.0
3041,1048576,676605,341,0.05
3042,1048576,48725,0,0.0
3043,1048576,975320,418606,42.92
3044,813258,811883,1148,0.14
3045,1048576,943628,2015,0.21
3046,1048576,870516,721593,82.89
3047,1048576,161475,36,0.02
3048,1048576,217951,194996,89.47
3049,1048337,447632,241379,53.92
3050,903102,827670,0,0.0
3051,1048576,414236,3581,0.86
3052,1048576,398358,17,0.0
3053,1048576,412251,185,0.04
3054,1047970,715451,193,0.03
3055,1048576,1036157,0,0.0
3056,697321,655540,4624,0.71
3057,1048576,766253,27,0.0
3058,1048576,459996,8,0.0
3059,1048576,552741,485043,87.75
3060,695609,695325,0,0.0
3061,1048576,681742,396664,58.18
3062,1048576,261356,199035,76.15
3063,1048576,627273,625846,99.77
3064,1048576,411010,0,0.0
3065,1048576,242450,9260,3.82
3066,1048576,932178,5172,0.55
3067,1048576,373780,0,0.0
3068,1048576,134911,61,0.05
3069,840732,576830,2858,0.5
3070,1048576,212170,10061,4.74
3071,1048576,463226,62880,13.57
3072,1048576,610759,160567,26.29
3073,1048576,942425,331,0.04
3074,1048576,888769,0,0.0
3075,1048576,822275,810374,98.55
3076,1048576,157414,24341,15.46
3077,1048576,345555,208067,60.21
3078,1048576,982161,0,0.0
3079,1048576,676845,185523,27.41
3080,1048576,622309,10,0.0
3081,1048576,1022281,0,0.0
3082,1048576,117556,0,0.0
3083,1048576,503786,0,0.0
3084,1048576,180667,10,0.01
3085,1048576,914474,1182,0.13
3086,1048576,278282,204,0.07
3087,1048576,605943,61215,10.1
3088,1048576,500124,2988,0.6
3089,1048576,716252,636971,88.93
3090,1048576,821742,229,0.03
3091,1048576,422450,15896,3.76
3092,1048576,1048028,0,0.0
3093,1048576,926505,54973,5.93
3094,1048576,958972,0,0.0
3095,1048576,636008,493107,77.53
3096,697176,415446,5275,1.27
3097,1048576,510167,507,0.1
3098,1048576,952731,3,0.0
3099,1048576,627817,24,0.0
3100,638406,336629,66285,19.69
3101,1048576,792706,672933,84.89
3102,1048576,401958,1,0.0
3103,1048576,442557,843,0.19
3104,1048576,934035,0,0.0
3105,1048576,424605,23331,5.49
3106,1048576,286568,286568,100.0
3107,1048576,884319,869752,98.35
3108,1048576,441258,62,0.01
3109,1048576,955644,8843,0.93
3110,1048576,893654,50590,5.66
3111,1048576,792627,676925,85.4
3112,1048576,764208,593,0.08
3113,1048576,668896,76449,11.43
3114,1048576,675899,104,0.02
3115,1048576,420180,33309,7.93
3116,1048576,812071,1477,0.18
3117,1048576,904124,0,0.0
3118,1048576,197923,751,0.38
3119,1048576,540330,10,0.0
3120,1048576,547723,370,0.07
3121,1048576,512570,635,0.12
3122,1048576,799496,7743,0.97
3123,752599,606398,1366,0.23
3124,1048576,443198,81,0.02
3125,1048576,140141,0,0.0
3126,1048576,403859,403817,99.99
3127,1048576,689675,637326,92.41
3128,1048576,922732,1026,0.11
3129,1048576,900932,1074,0.12
3130,1048576,1040603,1040163,99.96
3131,1048576,968779,1037,0.11
3132,1048576,272613,16,0.01
3133,1048576,492790,54,0.01
3134,1048576,79624,1517,1.91
3135,1048576,587299,6,0.0
3136,1048576,369980,8,0.0
3137,1048576,751521,63,0.01
3138,1048576,981212,2133,0.22
3139,1048576,57908,50289,86.84
3140,1048576,449429,0,0.0
3141,1048576,833368,6035,0.72
3142,1048576,424261,0,0.0
3143,1048568,949168,10494,1.11
3144,1048576,959391,221,0.02
3145,1048576,454249,0,0.0
3146,1048576,858590,436,0.05
3147,1048576,1020996,0,0.0
3148,1048576,443805,60,0.01
3149,1048576,970639,1600,0.16
3150,1048576,1011027,0,0.0
3151,1048576,187194,13955,7.45
3152,1048576,949061,1125,0.12
3153,1047863,375350,0,0.0
3154,1048576,712407,94148,13.22
3155,1048576,987708,0,0.0
3156,1048576,637017,10,0.0
3157,1048576,277176,4540,1.64
3158,1048576,704968,533,0.08
3159,1048576,426861,7143,1.67
3160,1048576,1002213,0,0.0
3161,1048576,330431,1913,0.58
3162,1048576,225083,1737,0.77
3163,1048576,612752,3326,0.54
3164,1048576,488553,574,0.12
3165,1048576,1041630,0,0.0
3166,1048576,466859,155,0.03
3167,1048576,956846,0,0.0
3168,1048576,646929,200,0.03
3169,1048576,1039910,0,0.0
3170,1048576,372715,44,0.01
3171,1048576,813569,616736,75.81
3172,1048488,754142,2093,0.28
3173,1048576,466441,124,0.03
3174,1048576,900098,699,0.08
3175,1048576,898188,898188,100.0
3176,1048576,908262,30,0.0
3177,1048575,1041908,0,0.0
3178,1048576,624775,70,0.01
3179,1048576,924824,302994,32.76
3180,1048576,891009,2170,0.24
3181,1048576,375912,11,0.0
3182,1048576,921881,0,0.0
3183,1048576,322651,246768,76.48
3184,1048576,419615,0,0.0
3185,1048576,908306,0,0.0
3186,1048576,542380,565,0.1
3187,1048576,956616,916807,95.84
3188,1048576,277640,265028,95.46
3189,1048576,872641,2032,0.23
3190,1048576,527675,527675,100.0
3191,1048576,496118,0,0.0
3192,1048576,803595,120427,14.99
3193,1020548,758416,39070,5.15
3194,1048576,789028,0,0.0
3195,872087,815021,0,0.0
3196,1048576,215863,0,0.0
3197,1048576,979174,8520,0.87
3198,1048576,340163,542,0.16
3199,1048576,741464,47278,6.38
3200,1048576,122575,75,0.06
3201,1048576,904414,4371,0.48
3202,1048576,1002188,247,0.02
3203,1048576,936392,0,0.0
3204,1048576,441798,79,0.02
3205,1048576,917935,0,0.0
3206,1048576,561179,18264,3.25
3207,1048576,742752,1005,0.14
3208,1048576,249939,116,0.05
3209,1048576,824522,5116,0.62
3210,1048576,1048576,1048576,100.0
3211,1048576,693937,381,0.05
3212,1048576,875052,23281,2.66
3213,1048576,371390,1167,0.31
3214,1048576,972462,290,0.03
3215,1048576,920690,26465,2.87
3216,1048576,540202,496962,92.0
3217,1048576,844946,35164,4.16
3218,1048576,483318,272,0.06
3219,1048576,266323,143781,53.99
3220,1048576,240598,37751,15.69
3221,1048576,1009028,0,0.0
3222,1048576,590491,551,0.09
3223,1048576,678821,147,0.02
3224,1048576,140100,138953,99.18
3225,1048576,170100,441,0.26
3226,1048576,427495,1024,0.24
3227,1048576,506225,0,0.0
3228,1048576,814042,2064,0.25
3229,1048576,426033,1022,0.24
3230,1048576,193075,71,0.04
3231,1048576,570919,2363,0.41
3232,1048576,841026,40660,4.83
3233,1048576,700396,14127,2.02
3234,1048576,837668,35886,4.28
3235,1048576,124291,18,0.01
3236,1048576,413611,109,0.03
3237,1048576,826947,40,0.0
3238,1048576,793689,31,0.0
3239,1048576,322691,6,0.0
3240,1048576,873,176,20.16
3241,1048576,519028,140,0.03
3242,1048576,1030660,0,0.0
3243,1048576,621210,58,0.01
3244,1048576,103031,0,0.0
3245,1048576,997297,997297,100.0
3246,1048576,57051,53601,93.95
3247,1048576,710267,232423,32.72
3248,1048576,236671,53483,22.6
3249,1048547,942430,0,0.0
3250,1048576,323738,184120,56.87
3251,1048576,674289,11,0.0
3252,1048576,953730,230,0.02
3253,1048576,204136,0,0.0
3254,1048576,523545,7445,1.42
3255,1048576,183881,183881,100.0
3256,1048576,305757,8156,2.67
3257,1048576,834678,651,0.08
3258,1048576,716935,674874,94.13
3259,1048576,485455,162,0.03
3260,1048576,755921,247000,32.68
3261,1048576,1018635,0,0.0
3262,1048496,269954,3283,1.22
3263,814734,718648,0,0.0
3264,1048576,193184,193184,100.0
3265,1048576,651045,647562,99.47
3266,1048576,109525,0,0.0
3267,1048576,963500,0,0.0
3268,1048576,461468,212087,45.96
3269,1048576,429389,5687,1.32
3270,1048576,873003,870439,99.71
3271,1048576,171946,13025,7.58
3272,1048576,902474,23534,2.61
3273,1048576,516541,516541,100.0
3274,1048576,902271,4246,0.47
3275,1048576,701882,266,0.04
3276,1048576,105679,83315,78.84
3277,1048576,528185,0,0.0
3278,1048485,285024,25,0.01
3279,1048576,907731,4398,0.48
3280,1048576,156030,1609,1.03
3281,987621,643587,584,0.09
3282,1048576,864102,2091,0.24
3283,1048576,854853,601014,70.31
3284,1048576,451592,38775,8.59
3285,1048576,1026548,0,0.0
3286,1048576,912435,26341,2.89
3287,1048576,303992,12,0.0
3288,1048576,694031,42,0.01
3289,1048576,878511,578,0.07
3290,1048576,719175,3,0.0
3291,1048576,399944,370877,92.73
3292,1048576,883548,203720,23.06
3293,1048576,778133,18,0.0
3294,1048576,205542,0,0.0
3295,1048576,741124,741124,100.0
3296,1048576,221555,0,0.0
3297,1048576,733296,7423,1.01
3298,1048576,758952,703584,92.7
3299,811353,635406,16,0.0
3300,1048576,415990,380,0.09
3301,1048576,629603,43665,6.94
3302,1048576,452111,13,0.0
3303,635084,528550,54782,10.36
3304,1048576,888183,37201,4.19
3305,1048576,145017,40680,28.05
3306,1048576,326781,0,0.0
3307,1048576,726800,699869,96.29
3308,1048576,418757,603,0.14
3309,1048576,44154,91,0.21
3310,1048576,1006252,0,0.0
3311,756127,600616,5896,0.98
3312,1048576,620033,10424,1.68
3313,1048576,264106,15,0.01
3314,1048576,751933,587372,78.11
3315,1048576,547639,0,0.0
3316,1048576,794479,3316,0.42
3317,1048576,848623,35307,4.16
3318,1048576,527105,343,0.07
3319,1048576,618421,76,0.01
3320,1048576,877088,25258,2.88
3321,1048576,397699,395252,99.38
3322,1048576,265317,0,0.0
3323,1048576,948687,0,0.0
3324,1048576,552057,539,0.1
3325,1048576,129465,0,0.0
3326,1048576,184809,0,0.0
3327,1048576,226984,0,0.0
3328,1048576,802859,1033,0.13
3329,1048576,509992,37,0.01
3330,1048576,1000903,1000850,99.99
3331,1048576,943412,873,0.09
3332,1048576,505529,1453,0.29
3333,1048576,299571,0,0.0
3334,1048576,226997,65,0.03
3335,1048576,485864,1816,0.37
3336,1048576,760953,35667,4.69
3337,1048576,164356,26891,16.36
3338,1048576,148477,1953,1.32
3339,1048576,330771,147,0.04
3340,1048576,348784,0,0.0
3341,1048576,472045,21,0.0
3342,1048576,609826,463,0.08
3343,1048576,329380,10,0.0
3344,1048371,656012,58,0.01
3345,1048576,217412,1732,0.8
3346,1048576,156735,560,0.36
3347,604373,368310,108223,29.38
3348,783848,783784,51349,6.55
3349,1048576,225512,0,0.0
3350,1048576,629514,572492,90.94
3351,1048576,675780,23169,3.43
3352,1048576,94933,1535,1.62
3353,1048576,266781,17,0.01
3354,1048576,969499,0,0.0
3355,1048576,324816,154,0.05
3356,1048576,1032052,148,0.01
3357,1016994,762089,4912,0.64
3358,1048576,825437,905,0.11
3359,1048576,252039,694,0.28
3360,1048576,388266,5631,1.45
3361,1048576,836362,2843,0.34
